,geometry,name,opening_hours,shop,wheelchair,check_date,addr:city,addr:housenumber,addr:postcode,addr:street,operator,payment:cash,payment:credit_cards,payment:debit_cards,addr:country,source,toilets:wheelchair,brand,contact:facebook,contact:phone,contact:website,brand:wikidata,changing_table,toilets,building,website,amenity,cuisine,access,addr:place,addr:province,contact:email,dog,fee,internet_access,internet_access:fee,motorhome,organic,power_supply,power_supply:maxcurrent,reservation,sanitary_dump_station,socket:cee_blue,tents,tourism,brand:wikipedia,city,description,phone,email,check_date:opening_hours,payment:mastercard,payment:visa,branch,name:it,operator:wikidata,operator:wikipedia,alt_name,ref,ref:vatin,level,kids_area,toilets:access,toilets:number,smoking,ele,atm,air_conditioning,diet:halal,diet:kosher,name:signed,currency:EUR,addr:suburb,brand:en,brand:ja,name:en,name:ja,delivery:description:it,wikimedia_commons,contact:instagram,name:es,noname,entrance,opening_hours:signed,payment:cards,facebook,payment:coins,payment:bancomat,clothes,self_service,contact:mobile,addr:state,building:levels,old_name,fixme,start_date,note,roof:levels,roof:shape,building:material,addr:unit,stroller,not:brand:wikidata,fax,addr:hamlet,payment:diners_club,payment:maestro,payment:v_pay,payment:visa_electron,drive_through,building:part,indoor_seating,outdoor_seating,building:use,contact:fax,building:colour,diet:gluten_free,diet:non-vegetarian,diet:vegan,diet:vegetarian,roof:colour,type,roof:material,survey:date,fuel:GTL_diesel,fuel:diesel,fuel:octane_100,fuel:octane_95,ref:mise
381,POINT (12.2936569 45.2222429),Alimentari Chio,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,POINT (12.2910409 45.2150933),Conad City,,supermarket,,,,,,,,,,,,,,Conad City,,,,Q57543102,,,,,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,POINT (12.2963968 45.2122798),ALDI,Mo-Sa 08:30-19:30; Su 09:00-19:00,supermarket,,,Sottomarina Lido,41 a,30015,Lungomare Adriatico,,,,,,,,ALDI,,,,Q41171672,,,,,,,,,,,,,,,,,,,,,,,,en:Aldi,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,POINT (12.2786946 45.2187969),Pam,,supermarket,yes,,,,,,,,,,,,,Pam,,,,Q105615038,,,,,,,,,,,,,,,,yes,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,POINT (12.27963 45.2191333),,,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,POINT (12.2795963 45.2190587),,,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,POINT (12.2917083 45.2106208),Famila Superstore,,supermarket,,,,,,,,,,,,,,Famila,,,,Q1395108,,,,https://www.famila.it/punti-vendita/veneto/famila-superstore-sottomarina,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,POINT (12.2691585 45.1489242),,,farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,POINT (12.265988 45.1417966),,,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,"MULTIPOLYGON (((12.2784977 45.1880298, 12.2784952 45.188022, 12.278484 45.1880225, 12.2784801 45.1880022, 12.2777757 45.1880964, 12.2777788 45.1881166, 12.2776309 45.1881367, 12.2776045 45.1881403, 12.2777631 45.1887989, 12.2777221 45.1888257, 12.277748 45.1888451, 12.2777539 45.1888728, 12.2777077 45.1889606, 12.2777535 45.1889778, 12.2777935 45.1889862, 12.2778443 45.1891741, 12.2778921 45.1891848, 12.2781775 45.1902836, 12.2782608 45.1902738, 12.278254 45.1902406, 12.2790387 45.1901422, 12.2788781 45.1895036, 12.2788716 45.1894778, 12.2787902 45.1894845, 12.2787861 45.1894566, 12.2788134 45.1894342, 12.278827 45.1894039, 12.2788337 45.1893756, 12.2788307 45.1893508, 12.2788234 45.1893322, 12.2788107 45.1893197, 12.2787764 45.1892945, 12.2787264 45.1892829, 12.2786959 45.1892756, 12.2787402 45.1891901, 12.2787527 45.1890578, 12.2787366 45.1889697, 12.2787359 45.1889658, 12.2787617 45.188962, 12.278522 45.1880268, 12.2784977 45.1880298)), ((12.2775178 45.1896383, 12.2775115 45.1896254, 12.2774962 45.1896179, 12.2774821 45.1896155, 12.2772846 45.1896477, 12.2771148 45.189612, 12.2771112 45.1896192, 12.277092 45.1896168, 12.277065 45.1896786, 12.2770838 45.1896822, 12.2770515 45.1897564, 12.2770346 45.1897526, 12.2770057 45.1898186, 12.2770225 45.1898229, 12.2769598 45.1899667, 12.2769448 45.1899625, 12.2769156 45.1900294, 12.2769319 45.190033, 12.2769287 45.1900405, 12.276914 45.1900372, 12.2769022 45.1900723, 12.2768957 45.1900993, 12.2768916 45.1901269, 12.2768907 45.1901342, 12.2768897 45.1901632, 12.2768912 45.1901963, 12.2768964 45.1902236, 12.2769171 45.1902223, 12.2770682 45.1908164, 12.2775373 45.1907557, 12.2775016 45.1906146, 12.2773719 45.1905217, 12.2772848 45.1901838, 12.2774203 45.1901671, 12.2774186 45.1901611, 12.2777057 45.1901257, 12.277821 45.1901238, 12.2778029 45.1900576, 12.2776999 45.190088, 12.2773831 45.1901272, 12.277313 45.1901139, 12.2775178 45.1896383)))",Parco Commerciale Clodì,,mall,yes,,Chioggia,510b,30015,Strada Statale 309 Romea,,,,,,,,,,,,,,yes,,https://www.clodi.it/,,,,,Venezia,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,+39 041 554 4026,,,,,,,,,,,,,,customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italia,,,,,,,,,,,,+39 041 554 4026,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,
391,"POLYGON ((12.3088068 45.1822105, 12.308829 45.1821457, 12.3087517 45.1821334, 12.3087313 45.1821973, 12.3088068 45.1822105))",,,farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,"POLYGON ((12.3064932 45.1911891, 12.3065256 45.191143, 12.3065332 45.1911322, 12.3063283 45.19106, 12.3062883 45.1911169, 12.3064932 45.1911891))",,,convenience,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,"POLYGON ((12.2819235 45.193705, 12.2818131 45.1933528, 12.2823519 45.1932715, 12.2823623 45.1933134, 12.2824427 45.1935804, 12.2824553 45.1936245, 12.2823656 45.1936396, 12.2823638 45.1936324, 12.2821717 45.1936918, 12.2821562 45.193663, 12.2820986 45.193681, 12.2819235 45.193705))",Conad,Mo-Sa 07:00-21:00; Su 07:30-21:00,supermarket,yes,,Chioggia,53,30015,Via Padre Emilio Venturini,,,,,IT,,,Conad,,,,Q639075,,,yes,,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,+39 041 554 4313,,,,,spesa facile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+39 041 554 0402,,,,,,,,,,,,,,,,,,,,,,,,,
394,POINT (12.5564487 45.6219367),SM,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Musile di Piave, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,POINT (12.5648348 45.6228148),MD,,supermarket,,,,,,,,,,,,,,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Musile di Piave, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,"POLYGON ((12.5463432 45.6217763, 12.5463351 45.621847, 12.5467721 45.6218713, 12.5468005 45.621621, 12.5468182 45.6214656, 12.5461674 45.6214294, 12.5461293 45.6217644, 12.5463432 45.6217763))",Eurospesa,,supermarket,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,"Musile di Piave, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,"POLYGON ((12.5644403 45.5627275, 12.5645054 45.5627544, 12.5645258 45.5627336, 12.5645778 45.5627574, 12.5646161 45.5627148, 12.5644982 45.5626625, 12.5644403 45.5627275))",Salsi 17,,kiosk,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,"Musile di Piave, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,"POLYGON ((12.555623 45.61834, 12.5555808 45.618302, 12.5555922 45.6182588, 12.5556324 45.6182363, 12.5556961 45.6182369, 12.5557391 45.6182668, 12.5557357 45.6183179, 12.5556955 45.6183456, 12.555623 45.61834))",Al Kiosko,,kiosk,,,Musile di Piave,75,30024,Via Argine San Marco Inferiore,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,"Musile di Piave, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,POINT (12.2980291 45.5564993),Coopca,Mo-Sa 09:00-19:00; We 09:00-13:00,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marcon, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,POINT (12.3039357 45.5510713),Penny Market,,supermarket,,,,11,30020,Via del Vetro,,,,,,,,,,,,,,,,https://www.pennymarket.it/,,,,,,,,,,,,,,,,,,,,,"Marcon, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,POINT (12.2983835 45.5548183),Q8,24/7,kiosk,,,,,,,Servizi & Gestioni Italia S.R.L.,yes,yes,,,,,Q8,,,,,,,,,fuel,,,,,,,,,,,,,,,,,,,,"Marcon, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,yes,yes,11944
402,POINT (12.3101791 45.5469909),SME,"Mo-Fr 09:15-12:30,14:45-19:30; Sa 09:15-19:30",department_store,,,Marcon,2,30020,Via Porta Est,SME S.p.a.,,,,,,,,,,,,,,,https://www.sme.it/,,,,,Venezia,,,,,,,,,,,,,,,,"Marcon, Veneto, Italy",,+39 041 456 4211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,"POLYGON ((12.3048592 45.5458657, 12.3048044 45.5458978, 12.3047545 45.5459217, 12.3047002 45.545945, 12.3046349 45.545964, 12.304539 45.5459778, 12.3044581 45.5459786, 12.3043787 45.5459723, 12.3043077 45.5459567, 12.3042321 45.5459348, 12.3041619 45.5459015, 12.3040988 45.5458591, 12.3040499 45.5458164, 12.3040048 45.5457626, 12.3032029 45.5446252, 12.3031172 45.5446583, 12.303067 45.5445913, 12.3031534 45.5445588, 12.3030577 45.5444369, 12.3030209 45.5443674, 12.3030055 45.5443133, 12.3030025 45.5442634, 12.3028719 45.5442269, 12.302897 45.5441677, 12.3030182 45.5441953, 12.3030406 45.5441465, 12.3030762 45.5440906, 12.3031194 45.5440416, 12.3031864 45.5439947, 12.3032564 45.5439585, 12.3033204 45.5439358, 12.3034045 45.5439156, 12.3034952 45.5439045, 12.3036042 45.5439082, 12.3037054 45.5439238, 12.3037961 45.5439542, 12.3038949 45.5440041, 12.3039515 45.5440453, 12.30478 45.5452122, 12.3048639 45.5453371, 12.304951 45.5454588, 12.3049697 45.5455354, 12.3049782 45.5456035, 12.3049768 45.5456613, 12.3049539 45.545729, 12.304925 45.5457806, 12.3048882 45.5458231, 12.3048592 45.5458657))",Iperalimentare Rossetto,,supermarket,,,Marcon,,,Via Mattei,Rossetto Trade SpA,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,"Marcon, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,"POLYGON ((12.3056725 45.5457297, 12.3056734 45.5457185, 12.305594 45.5456046, 12.3055864 45.5455688, 12.3055181 45.5455596, 12.3054753 45.5455511, 12.3054099 45.5455364, 12.3053405 45.5455069, 12.3052684 45.5454717, 12.3052106 45.5454368, 12.3051713 45.5454006, 12.3051326 45.5453547, 12.3041547 45.543976, 12.3041407 45.5439805, 12.3039515 45.5440453, 12.30478 45.5452122, 12.3048639 45.5453371, 12.304951 45.5454588, 12.3049697 45.5455354, 12.3049782 45.5456035, 12.3049768 45.5456613, 12.3049539 45.545729, 12.304925 45.5457806, 12.3048882 45.5458231, 12.3048592 45.5458657, 12.305053 45.5459526, 12.3051127 45.5458882, 12.305141 45.5459022, 12.3052078 45.5458448, 12.3052837 45.5458057, 12.3053656 45.5457733, 12.305461 45.5457563, 12.3055493 45.5457511, 12.3055723 45.545751, 12.3055761 45.5457227, 12.3056725 45.5457297))",Valecenter,,mall,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,"Marcon, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,"POLYGON ((12.3069132 45.5475327, 12.307303 45.5482497, 12.3078026 45.5481156, 12.3074129 45.5473986, 12.3069132 45.5475327))",Aldi,,supermarket,,,Marcon,9,30020,Via Mattei,,,,,,,,Aldi,,,,Q125054,,,retail,,,,,,,,,,,,,,,,,,,,,en:Aldi,"Marcon, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,POINT (12.3648119 45.5807164),Conad City,,supermarket,,,,,,,SMA,,,,,,,Conad City,,,,Q57543102,,,,,,,,,,,,,,,,,,,,,,,,,"Quarto d'Altino, Veneto, Italy",,,,,,,Quarto d'Altino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,POINT (12.3546281 45.5840795),Prix,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Quarto d'Altino, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,POINT (12.3729725 45.5799128),In's Mercato,"Mo-Sa 08:30-13:00, 15:30-20:00",supermarket,,,,,,,,,,,,,,In's Mercato,,,,Q105615834,,,,,,,,,,,,,,,,,,,,,,,,,"Quarto d'Altino, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,POINT (12.4370573 45.5588512),Fratelli Ronchin,"Mo-Fr 07:30-12:45, 17:30-19:30; Sa 07:30-12:45",convenience,,,Portegrandi,84,30020,Via Trieste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Quarto d'Altino, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,POINT (12.1715745 45.4512562),,,convenience,,,Oriago,,30034,Riviera San Pietro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mira, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,POINT (12.1619593 45.4462559),,,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mira, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,POINT (12.1179008 45.4645092),,,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mira, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,POINT (12.116278 45.4652108),,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mira, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,POINT (12.1749905 45.4612209),Lidl,,supermarket,,,,,,,Lidl,yes,,yes,,,,Lidl,,,,Q151954,,,,,,,,,,,,,,,,,,,,,,,,,"Mira, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,POINT (12.171946 45.4224172),ALDI,Mo-Sa 08:30-20:30; Su 09:00-20:00,supermarket,yes,,Gambarare,64,36050,Via Romea,,,,,,,,ALDI,,,,Q41171672,,,,,,,,,,,,,,,,,,,,,,,,,"Mira, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-06,,,,,
416,POINT (12.1610964 45.446961),Frutta Verdura da Moira,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mira, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,POINT (12.1291521 45.4373129),Coop,,supermarket,,,,,,,Coop Alleanza 3.0,,,,,,,Coop,,,,Q1129774,,,,,,,,,,,,,,,,,,,,,,,,it:Coop Italia,"Mira, Veneto, Italy",,,,,,,,,Q21189584,it:Coop Alleanza 3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,POINT (12.1330144 45.4325431),Conad City,,supermarket,,,,,,,,,,,,,,Conad City,,,,Q57543102,,,,,,,,,,,,,,,,,,,,,,,,,"Mira, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,POINT (12.170759 45.4217011),Iperlando,,supermarket,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,,,,,,,,,,,,"Mira, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-06,,,,,
420,POINT (12.1504479 45.4540737),Crai,,supermarket,,,Borbiago,74,,Via Giovanni XXIII,,yes,yes,,,https://www.gdonews.it/2024/03/18/apre-un-nuovo-pdv-crai-a-borbiago-ve/,,Crai,,,,Q3696429,,,,,,,,,,,,,,,,,,,,,,,,,"Mira, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,POINT (12.1250842 45.4378052),Despar,,supermarket,,,,18,,Via Enrico Toti,,,,,,,,Spar,,,,Q610492,,,,,,,,,,,,,,,,,,,,,,,,,"Mira, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,POINT (12.1781101 45.453713),Pam,,supermarket,,,,216,,Via Venezia,,,,,,,,Pam,,,,Q105615038,,,,,,,,,,,,,,,,,,,,,,,,,"Mira, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,POINT (12.1126546 45.4666034),Al numero Sette,,deli,,,Marano,7,30034,Via Galileo Galilei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mira, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,"POLYGON ((12.1293311 45.436968, 12.1292757 45.4369743, 12.1292724 45.4369541, 12.1290903 45.4369714, 12.129064 45.4368254, 12.1291073 45.4368207, 12.1291104 45.4368289, 12.1291223 45.4368346, 12.129133 45.4368348, 12.1291417 45.436831, 12.1291473 45.4368186, 12.1291384 45.436809, 12.129126 45.4368064, 12.1291163 45.4368089, 12.1291147 45.4368024, 12.1290603 45.4368081, 12.1290543 45.4367835, 12.1291029 45.4367778, 12.1290865 45.4366805, 12.1289041 45.4366965, 12.1289687 45.4370299, 12.1289897 45.437028, 12.1290544 45.4373805, 12.1290311 45.4373861, 12.1290877 45.437684, 12.129111 45.4376825, 12.1291412 45.4378314, 12.1292441 45.4378229, 12.1292489 45.4378403, 12.129264 45.4378953, 12.1294892 45.4378753, 12.1294811 45.4378312, 12.1294749 45.4377974, 12.1294629 45.4377318, 12.1295366 45.4377206, 12.1294135 45.4370425, 12.1293981 45.4370427, 12.1293838 45.4369634, 12.1294227 45.4369592, 12.1294223 45.4369567, 12.1293677 45.4366559, 12.1292651 45.4366649, 12.1292811 45.4367603, 12.1292927 45.4367603, 12.1293009 45.4368108, 12.1292911 45.4368122, 12.1293095 45.4369134, 12.1293229 45.4369125, 12.1293265 45.4369371, 12.1293311 45.436968))",Centro Commerciale Mirasole,,mall,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,"Mira, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,"POLYGON ((12.1414908 45.441019, 12.1414006 45.4409045, 12.1407539 45.4411626, 12.1408323 45.4412703, 12.1414908 45.441019))",In's Mercato,,supermarket,,,Mira Porte,12,30034,Via Boldani,,,,,,,,In's Mercato,,,,Q105615834,,,industrial,,,,,,,,,,,,,,,,,,,,,,"Mira, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,verificare se man_made=works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,"POLYGON ((12.1335199 45.4324163, 12.1328656 45.4323763, 12.1328349 45.4326232, 12.1328246 45.432706, 12.1326011 45.4326923, 12.1325693 45.4326904, 12.1325594 45.4327698, 12.133469 45.4328255, 12.1335199 45.4324163))",Centro Commerciale Vittoria,,mall,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,"Mira, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
